export-plot data (NetLogo 5.2.0),,,,,,,,,,,
puzzleSwap.nlogo,,,,,,,,,,,
04/29/2015 15:52:35:687 -0500,,,,,,,,,,,
,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,
zpd,consumeenergy,numa,numb,a1,a2,a3,a4,b1,b2,b3,b4
2,TRUE,20,0,6,2,2,2,3,2,3,3
,,,,,,,,,,,
"""LearnChanceVsKnowledge""",,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,
0,1,0,524,TRUE,"""A""",FALSE,2,,,,
,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,
"""A""",TRUE,2,1,15,0.493881402,,,,,,
"""B""",TRUE,2,1,95,0,,,,,,
,,,,,,,,,,,
"""A""",,,,"""B""",,,,,,,
x,y,color,pen down?,x,y,color,pen down?,,,,
0.266971788,0,15,TRUE,,,,,,,,
0.652419121,316,15,TRUE,,,,,,,,
0.203171227,228,15,TRUE,,,,,,,,
0.458728262,324,15,TRUE,,,,,,,,
0.826846128,312,15,TRUE,,,,,,,,
0.009507212,386,15,TRUE,,,,,,,,
0.946862953,358,15,TRUE,,,,,,,,
0.118538585,0,15,TRUE,,,,,,,,
0.65514618,476,15,TRUE,,,,,,,,
0.300343256,265,15,TRUE,,,,,,,,
0.677921029,357,15,TRUE,,,,,,,,
0.292543839,394,15,TRUE,,,,,,,,
0.216473626,386,15,TRUE,,,,,,,,
0.843345763,500,15,TRUE,,,,,,,,
0.20969892,477,15,TRUE,,,,,,,,
0.370508261,386,15,TRUE,,,,,,,,
0.201131944,273,15,TRUE,,,,,,,,
0.618370916,0,15,TRUE,,,,,,,,
0.463102645,382,15,TRUE,,,,,,,,
0.493881402,289,15,TRUE,,,,,,,,
,,,,,,,,,,,
mean,305.45,,,,,,,,,,
sd,149.4387658,,,,,,,,,,
