export-plot data (NetLogo 5.2.0),,,,,,,,,,,
puzzleSwap.nlogo,,,,,,,,,,,
04/29/2015 15:52:38:612 -0500,,,,,,,,,,,
,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,
consumeenergy,a3,a2,a1,b4,b1,b3,b2,numa,zpd,a4,numb
TRUE,2,2,6,3,3,3,2,20,2,2,0
,,,,,,,,,,,
"""LearnChanceVsKnowledge""",,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,
0,1,0,460,TRUE,"""A""",FALSE,2,,,,
,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,
"""A""",TRUE,2,1,15,0.822878157,,,,,,
"""B""",TRUE,2,1,95,0,,,,,,
,,,,,,,,,,,
"""A""",,,,"""B""",,,,,,,
x,y,color,pen down?,x,y,color,pen down?,,,,
0.194806879,88,15,TRUE,,,,,,,,
0.060203671,289,15,TRUE,,,,,,,,
0.434694239,165,15,TRUE,,,,,,,,
0.296112523,260,15,TRUE,,,,,,,,
0.267743027,115,15,TRUE,,,,,,,,
0.877981826,105,15,TRUE,,,,,,,,
0.393932055,418,15,TRUE,,,,,,,,
0.839890636,141,15,TRUE,,,,,,,,
0.764228028,237,15,TRUE,,,,,,,,
0.634734366,332,15,TRUE,,,,,,,,
0.165034836,89,15,TRUE,,,,,,,,
0.078453762,240,15,TRUE,,,,,,,,
0.126160947,313,15,TRUE,,,,,,,,
0.56360461,147,15,TRUE,,,,,,,,
0.121128478,184,15,TRUE,,,,,,,,
0.500093016,399,15,TRUE,,,,,,,,
0.409082602,109,15,TRUE,,,,,,,,
0.964291368,347,15,TRUE,,,,,,,,
0.562935049,174,15,TRUE,,,,,,,,
0.822878157,440,15,TRUE,,,,,,,,
,,,,,,,,,,,
mean,229.6,,,,,,,,,,
sd,115.014141,,,,,,,,,,
