BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
puzzleSwap.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
20A3225 timeinActivity rep20,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/29/2015 23:14:43:230 -0500,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,,
[run number],consumeEnergy,ZPD,numA,numTotal,A1,A2,A3,A4,[step],mean [knowledge] of students,standard-deviation [knowledge] of students,mean [time-in-rest] of students,mean [time-in-consult] of students,mean [time-in-collab] of students,mean [time-in-read] of students,[time-in-rest] of max-one-of students [knowledge],[time-in-consult] of max-one-of students [knowledge],[time-in-collab] of max-one-of students [knowledge],[time-in-read] of max-one-of students [knowledge],[chanceOfLearning] of max-one-of students [knowledge],[chanceOfQuestion] of max-one-of students [knowledge],[time-in-rest] of min-one-of students [knowledge],[time-in-consult] of min-one-of students [knowledge],[time-in-collab] of min-one-of students [knowledge],[time-in-read] of min-one-of students [knowledge],[chanceOfLearning] of min-one-of students [knowledge],[chanceOfQuestion] of min-one-of students [knowledge]
4,TRUE,2,20,20,3,2,2,5,1440,532.65,187.5314079,484.95,503.9,192.3,318.5,447,671,177,219,0.474000091,0.894014754,708,189,143,429,0.643312953,0.044860203
2,TRUE,2,20,20,3,2,2,5,1440,456.4,231.2791433,509.05,440.25,232.65,311.05,299,609,316,280,0.812579665,0.524021597,733,158,228,348,0.101352987,0.044544189
3,TRUE,2,20,20,3,2,2,5,1440,521.55,133.1767622,505,491.75,230.7,270.7,478,483,220,322,0.202996228,0.917341299,719,178,206,366,0.772883455,0.0763942
1,TRUE,2,20,20,3,2,2,5,1440,453.8,251.3070255,519.95,447.4,188.9,337.9,433,586,136,358,0.558128382,0.695069954,792,237,116,328,0.620251996,0.132724484
5,TRUE,2,20,20,3,2,2,5,1440,492.8,155.8128432,481.4,479.15,216.1,319.3,388,647,239,236,0.344040573,0.758200475,614,353,107,406,0.366056559,0.154879047
6,TRUE,2,20,20,3,2,2,5,1440,516.25,165.993302,466.85,454.5,232.05,341.15,370,518,250,364,0.449628196,0.879783352,622,18,295,525,0.604574052,0.023319448
7,TRUE,2,20,20,3,2,2,5,1440,511.75,191.5188255,476.75,494.05,221.4,303.25,431,575,262,241,0.665374689,0.738599213,717,190,165,397,0.088721642,0.048006476
8,TRUE,2,20,20,3,2,2,5,1440,396.9,229.0747752,554.75,396,206.5,332.75,391,509,200,409,0.847294084,0.792448963,857,129,108,370,0.387101651,0.040015616
10,TRUE,2,20,20,3,2,2,5,1440,482.3,253.2014176,501.45,444.95,220.4,327.65,368,552,233,354,0.698948972,0.652223742,588,79,179,619,0.363767768,0.012411433
9,TRUE,2,20,20,3,2,2,5,1440,435.15,207.1514257,529.3,420.6,208,333.9,442,560,201,296,0.934235597,0.459131042,562,117,235,553,0.048584417,0.041217279
11,TRUE,2,20,20,3,2,2,5,1440,489.9,250.7563086,529.85,430.55,210.95,322.7,355,570,289,301,0.862398114,0.937288575,731,0,191,536,0.764881672,0.001215973
12,TRUE,2,20,20,3,2,2,5,1440,498.8,178.4965281,498.35,479.7,213.05,306.3,458,661,175,218,0.345366559,0.598059806,863,207,84,318,0.820243129,0.089885768
14,TRUE,2,20,20,3,2,2,5,1440,463.55,150.85283,501.75,461.7,192.2,339.05,370,568,101,470,0.415220264,0.751962151,401,208,217,654,0.147290401,0.091827931
13,TRUE,2,20,20,3,2,2,5,1440,496.85,144.6852391,511.4,510.35,196.9,281.15,396,627,228,258,0.370209847,0.964839572,664,254,270,287,0.379302802,0.098649472
15,TRUE,2,20,20,3,2,2,5,1440,507.3,202.0234744,511.15,482.2,196.25,308.55,371,527,352,251,0.814633472,0.982425347,632,185,155,502,0.435231601,0.053349291
16,TRUE,2,20,20,3,2,2,5,1440,466.8,167.9089979,493,449.75,226.95,326.05,395,610,255,253,0.959175156,0.776591862,597,427,179,281,0.403432086,0.223071269
17,TRUE,2,20,20,3,2,2,5,1440,480.6,211.5151855,500.85,506.55,199.95,289.8,236,604,191,477,0.72477486,0.883929316,774,77,134,476,0.866096737,0.026662414
18,TRUE,2,20,20,3,2,2,5,1440,511.4,147.0475755,496.85,454.9,219.3,322.7,300,468,246,486,0.656101837,0.678738812,683,343,80,372,0.910497972,0.207125315
19,TRUE,2,20,20,3,2,2,5,1440,505.95,228.7412869,506.4,490.05,189.4,311.65,150,428,288,626,0.606610319,0.333375035,765,206,173,328,0.338691479,0.098586826
20,TRUE,2,20,20,3,2,2,5,1440,455,193.311856,538.75,455,169.55,332.15,398,624,216,278,0.094183384,0.630076507,777,63,112,510,0.521986649,0.012081368
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,mean,483.785,194.0693105,505.89,464.665,208.175,316.8125,373.8,569.85,228.75,334.85,0.591795015,0.742406069,689.95,180.9,168.85,430.25,0.4792131,0.0760414
