BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
puzzleSwap.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
noEatEnergy 20A0444 timeinActivity rep20,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/29/2015 23:49:22:711 -0500,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,,
[run number],consumeEnergy,ZPD,numA,numTotal,A1,A2,A3,A4,[step],mean [knowledge] of students,standard-deviation [knowledge] of students,mean [time-in-rest] of students,mean [time-in-consult] of students,mean [time-in-collab] of students,mean [time-in-read] of students,[time-in-rest] of max-one-of students [knowledge],[time-in-consult] of max-one-of students [knowledge],[time-in-collab] of max-one-of students [knowledge],[time-in-read] of max-one-of students [knowledge],[chanceOfLearning] of max-one-of students [knowledge],[chanceOfQuestion] of max-one-of students [knowledge],[time-in-rest] of min-one-of students [knowledge],[time-in-consult] of min-one-of students [knowledge],[time-in-collab] of min-one-of students [knowledge],[time-in-read] of min-one-of students [knowledge],[chanceOfLearning] of min-one-of students [knowledge],[chanceOfQuestion] of min-one-of students [knowledge]
4,FALSE,2,20,20,0,4,4,4,1440,677.5,18.1673507,1,103.3,1168.1,183,1,125,1236,99,0.796082285,0.710108808,1,0,1167,278,0.179809666,0.024994606
3,FALSE,2,20,20,0,4,4,4,1440,779.35,24.57057504,1,134.15,1170.2,152.15,1,184,1154,127,0.92279294,0.356537531,1,32,1346,71,0.061228764,0.308281924
2,FALSE,2,20,20,0,4,4,4,1440,746.55,16.92856508,1,95.4,1197.7,162.15,1,141,1207,115,0.950073234,0.426409788,1,72,1155,230,0.046769692,0.165994959
1,FALSE,2,20,20,0,4,4,4,1440,806.35,35.82012813,1,139.4,1164.5,152.15,1,121,1244,88,0.879264234,0.097392165,1,93,1098,259,0.059686239,0.10554252
5,FALSE,2,20,20,0,4,4,4,1440,757.65,35.17965171,1,112.05,1193.5,150.75,1,89,1240,129,0.939663283,0.281236228,1,145,1118,190,0.015167375,0.175151703
6,FALSE,2,20,20,0,4,4,4,1440,823.7,16.26135231,1,129.35,1133.1,194.35,1,176,1117,167,0.186386181,0.795789853,1,85,914,446,0.124445353,0.029667711
7,FALSE,2,20,20,0,4,4,4,1440,768.85,27.02489106,1,104.2,1165.15,185.3,1,134,1216,105,0.987143608,0.922339687,1,146,1211,101,0.396851874,0.93108902
8,FALSE,2,20,20,0,4,4,4,1440,626.1,26.41550581,1,122.45,1156.7,175.95,1,176,1037,247,0.982625226,0.818732164,1,171,1060,223,0.050214859,0.78694425
9,FALSE,2,20,20,0,4,4,4,1440,731.35,52.64606248,1,104.1,1202.25,147.2,1,55,1270,131,0.93780399,0.184394066,1,14,1262,168,0.265610021,0.058455121
11,FALSE,2,20,20,0,4,4,4,1440,815.45,34.64325711,1,102.55,1185,166.95,1,143,1128,193,0.799011189,0.267708962,1,70,1188,189,0.160582078,0.818843862
10,FALSE,2,20,20,0,4,4,4,1440,733.85,23.7204664,1,115.15,1172.55,166.55,1,249,948,264,0.425658996,0.514733178,1,119,1079,254,0.053052455,0.429531479
12,FALSE,2,20,20,0,4,4,4,1440,766.85,17.42736807,1,119.45,1170.25,166.1,1,195,1000,261,0.839281101,0.275229071,1,60,1208,176,0.360068495,0.14604174
13,FALSE,2,20,20,0,4,4,4,1440,720.4,30.42748065,1,113,1156.75,184.3,1,175,1191,97,0.801382453,0.930334135,1,23,1254,176,0.087727711,0.059185381
15,FALSE,2,20,20,0,4,4,4,1440,750.3,21.02654963,1,107.7,1184.1,163.2,1,196,1007,256,0.666441899,0.384858665,1,144,1183,131,0.18384209,0.83085063
14,FALSE,2,20,20,0,4,4,4,1440,759.4,21.40191826,1,105.55,1209.5,139.55,1,75,1206,175,0.939437607,0.729494468,1,161,1001,299,0.049278809,0.686201466
16,FALSE,2,20,20,0,4,4,4,1440,787.65,20.43030515,1,105.95,1188.4,159.6,1,133,1250,67,0.929469347,0.716687677,1,127,1140,188,0.039054154,0.604288671
17,FALSE,2,20,20,0,4,4,4,1440,780.7,36.44476715,1,117.05,1171,167.15,1,43,1058,347,0.792688997,0.010183081,1,173,1097,186,0.065688442,0.431856035
19,FALSE,2,20,20,0,4,4,4,1440,875.25,35.94714687,1,111.05,1181.35,163.05,1,290,1007,169,0.803028996,0.831109424,1,120,1172,165,0.240880275,0.40203718
18,FALSE,2,20,20,0,4,4,4,1440,848.55,17.17548743,1,125.75,1153.55,177.6,1,128,1119,202,0.538504504,0.884957748,1,133,1240,83,0.035846857,0.33891734
20,FALSE,2,20,20,0,4,4,4,1440,788,28.75486229,1,120.95,1178.75,155.95,1,242,1007,206,0.805113423,0.319022632,1,165,1138,151,0.027718813,0.604802401
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,767.19,,,,,,,,,,,,,,,,,
,,,,,,,,,,56.16530021,,,,,,,,,,,,,,,,,
