BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puzzleSwap.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6141 rep20 useNrg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/29/2015 16:30:14:345 -0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20
consumeEnergy,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
ZPD,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
numA,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,
A1,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,
A2,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
A3,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,
A4,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
numB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
[steps],1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[initial & final values],mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students,mean [knowledge] of students,standard-deviation [knowledge] of students
,97,99.11343846,92.9,109.1058877,164.65,167.7743707,119.9,69.84637277,150.2,96.147146,190.55,113.4332519,127.5,97.85354255,141.5,113.2372916,138.95,92.85726171,154.6,133.4743815,179.6,105.9942402,167.75,108.8518428,106.05,79.55830368,144.4,131.7419327,176.35,120.8506146,108.35,101.6947315,88.95,59.19057091,144.2,127.3547057,158.55,117.2547721,159.9,99.59016016
