"BehaviorSpace results (NetLogo 5.2.0)"
"puzzleSwap.nlogo"
"A6114 rep20 useNrg"
"04/29/2015 16:33:46:662 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","consumeEnergy","ZPD","numA","A1","A2","A3","A4","numB","[step]","mean [knowledge] of students","standard-deviation [knowledge] of students"
"2","true","2","20","6","1","1","4","0","1441","280.4","141.9834682741547"
"4","true","2","20","6","1","1","4","0","1441","388.05","204.33241106228428"
"3","true","2","20","6","1","1","4","0","1441","368.55","166.08541714874815"
"1","true","2","20","6","1","1","4","0","1441","356.55","118.17403535285975"
"5","true","2","20","6","1","1","4","0","1441","345.55","161.23257963836622"
"6","true","2","20","6","1","1","4","0","1441","446.55","164.22785038508317"
"7","true","2","20","6","1","1","4","0","1441","331.25","139.6819225013896"
"8","true","2","20","6","1","1","4","0","1441","333.5","121.61652415427939"
"9","true","2","20","6","1","1","4","0","1441","378.25","113.26395580329395"
"11","true","2","20","6","1","1","4","0","1441","355.75","190.9339579954008"
"10","true","2","20","6","1","1","4","0","1441","290.25","160.4345661009497"
"12","true","2","20","6","1","1","4","0","1441","290.4","154.15043916491723"
"13","true","2","20","6","1","1","4","0","1441","322.95","189.35693808255348"
"14","true","2","20","6","1","1","4","0","1441","408.1","164.11834625948242"
"15","true","2","20","6","1","1","4","0","1441","384.2","164.35987472936523"
"18","true","2","20","6","1","1","4","0","1441","349.8","158.02717954100243"
"17","true","2","20","6","1","1","4","0","1441","347","148.9224453762498"
"19","true","2","20","6","1","1","4","0","1441","345.1","143.17486548016436"
"16","true","2","20","6","1","1","4","0","1441","342.25","175.0716770504674"
"20","true","2","20","6","1","1","4","0","1441","375.65","98.66384982939746"
