export-plot data (NetLogo 5.2.0),,,,,,,,,,,
puzzleSwap.nlogo,,,,,,,,,,,
04/29/2015 19:36:16:155 -0500,,,,,,,,,,,
,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,
a1,a4,b4,b3,b1,zpd,a2,numtotal,consumeenergy,b2,numa,a3
6,2,3,3,3,2,2,50,TRUE,3,50,2
,,,,,,,,,,,
"""Chance of Question""",,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,
0,1,0,535,TRUE,"""A""",FALSE,2,,,,
,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,
"""A""",TRUE,2,1,15,0.581468808,,,,,,
"""B""",TRUE,2,1,95,0,,,,,,
,,,,,,,,,,,
"""A""",,,,"""B""",,,,,,,
x,y,color,pen down?,x,y,color,pen down?,,,,
0.010168169,0,15,TRUE,,,,,,,,
0.924059187,207,15,TRUE,,,,,,,,
0.671923081,413,15,TRUE,,,,,,,,
0.300345039,298,15,TRUE,,,,,,,,
0.887049548,424,15,TRUE,,,,,,,,
0.934346215,177,15,TRUE,,,,,,,,
0.861741474,290,15,TRUE,,,,,,,,
0.314129998,437,15,TRUE,,,,,,,,
0.421466795,184,15,TRUE,,,,,,,,
0.279896679,119,15,TRUE,,,,,,,,
0.224906583,243,15,TRUE,,,,,,,,
0.847809132,486,15,TRUE,,,,,,,,
0.271025855,310,15,TRUE,,,,,,,,
0.24322858,268,15,TRUE,,,,,,,,
0.137403132,232,15,TRUE,,,,,,,,
0.989531249,218,15,TRUE,,,,,,,,
0.683504543,294,15,TRUE,,,,,,,,
0.39886787,195,15,TRUE,,,,,,,,
0.386523487,164,15,TRUE,,,,,,,,
0.828222361,273,15,TRUE,,,,,,,,
0.570882246,490,15,TRUE,,,,,,,,
0.698379667,267,15,TRUE,,,,,,,,
0.484558047,137,15,TRUE,,,,,,,,
0.044336768,158,15,TRUE,,,,,,,,
0.273184963,360,15,TRUE,,,,,,,,
0.496594538,109,15,TRUE,,,,,,,,
0.016309744,99,15,TRUE,,,,,,,,
0.264876207,343,15,TRUE,,,,,,,,
0.922542402,470,15,TRUE,,,,,,,,
0.274519344,201,15,TRUE,,,,,,,,
0.170528143,352,15,TRUE,,,,,,,,
0.312253362,318,15,TRUE,,,,,,,,
0.118424293,105,15,TRUE,,,,,,,,
0.61317252,183,15,TRUE,,,,,,,,
0.938350326,189,15,TRUE,,,,,,,,
0.70137774,275,15,TRUE,,,,,,,,
0.966037806,327,15,TRUE,,,,,,,,
0.595390949,401,15,TRUE,,,,,,,,
0.273014484,274,15,TRUE,,,,,,,,
0.334082835,111,15,TRUE,,,,,,,,
0.871007599,198,15,TRUE,,,,,,,,
0.247307847,253,15,TRUE,,,,,,,,
0.683055954,199,15,TRUE,,,,,,,,
0.68720461,313,15,TRUE,,,,,,,,
0.055698256,0,15,TRUE,,,,,,,,
0.174271439,260,15,TRUE,,,,,,,,
0.244354088,147,15,TRUE,,,,,,,,
0.488985437,137,15,TRUE,,,,,,,,
0.294797197,241,15,TRUE,,,,,,,,
0.581468808,174,15,TRUE,,,,,,,,
