"BehaviorSpace results (NetLogo 5.2.0)"
"puzzleSwap.nlogo"
"chanceOfLearning 10A6222 10B3333 rep10 useNrg"
"04/29/2015 18:01:12:273 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","consumeEnergy","ZPD","numA","numTotal","A1","A2","A3","A4","B1","B2","B3","B4","[step]","mean [knowledge] of students","standard-deviation [knowledge] of students","mean [knowledge] of students with [class = ""A""]","standard-deviation [knowledge] of students with [class = ""A""]","mean [knowledge] of students with [class = ""B""]","standard-deviation [knowledge] of students with [class = ""B""]"
"3","true","2","10","20","6","2","2","2","3","3","3","3","1441","403.35","186.47287794884895","282.1","175.18463276085478","524.6","100.23993437968944"
"4","true","2","10","20","6","2","2","2","3","3","3","3","1441","392.9","156.23090199074608","364","131.58520686865475","421.8","179.88193658928378"
"2","true","2","10","20","6","2","2","2","3","3","3","3","1441","346.95","148.55992057079192","310.4","67.62182422200033","383.5","197.6131180980768"
"5","true","2","10","20","6","2","2","2","3","3","3","3","1441","324.95","179.70457481802268","228.4","119.64688787334913","421.5","182.05753058976836"
"6","true","2","10","20","6","2","2","2","3","3","3","3","1441","355.75","153.28606727635957","333.1","103.14762883039694","378.4","194.48518938183668"
"7","true","2","10","20","6","2","2","2","3","3","3","3","1441","297.9","186.81172621822105","225.3","138.4686486778385","370.5","206.85381311447946"
"1","true","2","10","20","6","2","2","2","3","3","3","3","1441","381.8","157.8222184344744","308.8","147.8398532947805","454.8","137.42052248481664"
"10","true","2","10","20","6","2","2","2","3","3","3","3","1441","404.05","160.12773683925954","377.4","158.5785469587723","430.7","165.54559627016494"
"8","true","2","10","20","6","2","2","2","3","3","3","3","1441","368.95","220.49310169421818","257.9","146.6988222326425","480","231.75657727691595"
"9","true","2","10","20","6","2","2","2","3","3","3","3","1441","358.7","182.54605763449052","314.3","180.14009979889417","403.1","183.07767022041034"
