"BehaviorSpace results (NetLogo 5.2.0)"
"puzzleSwap.nlogo"
"2C indivDiff 20A3333"
"04/29/2015 21:18:45:973 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","consumeEnergy","ZPD","numA","numTotal","A1","A2","A3","A4","B1","B2","B3","B4","[step]","mean [knowledge] of students","standard-deviation [knowledge] of students","mean [chanceOfLearning] of students","standard-deviation [chanceOfLearning] of students","mean [chanceOfQuestion] of students","standard-deviation [chanceOfQuestion] of students"
"3","true","2","20","20","3","3","3","3","3","3","3","3","1440","465.95","147.90732340147824","0.6122825602463429","0.31289254800509786","0.5044064140926412","0.29655152867094925"
"2","true","2","20","20","3","3","3","3","3","3","3","3","1440","473.9","175.60568867419082","0.4932188814601116","0.25742526972011615","0.527952966385963","0.2713862527861921"
"4","true","2","20","20","3","3","3","3","3","3","3","3","1440","469","198.17403303263788","0.5367586876470029","0.31858536242638963","0.5342292210367307","0.27799224852218335"
"6","true","2","20","20","3","3","3","3","3","3","3","3","1440","524.25","218.39555494801775","0.558358501332013","0.279672157532439","0.6229099450536457","0.3241622363948642"
"7","true","2","20","20","3","3","3","3","3","3","3","3","1440","474.05","181.3607846545838","0.4547087643364026","0.27306048302284375","0.5475638609703812","0.31597435284182995"
"5","true","2","20","20","3","3","3","3","3","3","3","3","1440","443.75","205.52266490456395","0.4414020685289216","0.26126431438446784","0.4293450137002083","0.29142559624693465"
"8","true","2","20","20","3","3","3","3","3","3","3","3","1440","489.35","208.23980988526816","0.5158640922604446","0.2843199037514171","0.557037975886485","0.316458058855001"
"10","true","2","20","20","3","3","3","3","3","3","3","3","1440","481.85","189.04003335411872","0.4806172100093531","0.3079593450457227","0.5327264987380058","0.28280059383132883"
"9","true","2","20","20","3","3","3","3","3","3","3","3","1440","484.95","154.67299121219037","0.63830128787455","0.24081261139227847","0.3839170599010123","0.2495504429444999"
"1","true","2","20","20","3","3","3","3","3","3","3","3","1440","444.85","164.7432691700699","0.563796217031009","0.2958114865382183","0.5375034497743996","0.3291868194069668"
"11","true","2","20","20","3","3","3","3","3","3","3","3","1440","555.75","131.14350315990734","0.47814366389764773","0.27269851695063246","0.5696367144559908","0.2246910562264489"
"12","true","2","20","20","3","3","3","3","3","3","3","3","1440","517.2","130.27687115483982","0.4857166121062826","0.2876421641674704","0.5830544349394666","0.27167737412628545"
"13","true","2","20","20","3","3","3","3","3","3","3","3","1440","416.3","184.05408244088989","0.4080986088613157","0.2896713426535596","0.44174226325994204","0.21647924828755638"
"15","true","2","20","20","3","3","3","3","3","3","3","3","1440","383.6","179.47508256902375","0.5269392479460427","0.26068168970526673","0.4186296748030881","0.2569697217301608"
"16","true","2","20","20","3","3","3","3","3","3","3","3","1440","416.05","228.26496030986263","0.47032412043559535","0.23616102826609997","0.44007053809204255","0.2826774103352176"
"17","true","2","20","20","3","3","3","3","3","3","3","3","1440","489.1","224.6468339416338","0.5467163957952482","0.32277089781581036","0.5025314772835159","0.29678838305267347"
"19","true","2","20","20","3","3","3","3","3","3","3","3","1440","476.45","190.87760614151622","0.5639333967247208","0.292800743820376","0.42884132624447063","0.2681723600431812"
"18","true","2","20","20","3","3","3","3","3","3","3","3","1440","409.2","174.04645477875334","0.4887633915965871","0.29270670087996864","0.567306558360248","0.2955906550505132"
"20","true","2","20","20","3","3","3","3","3","3","3","3","1440","472.5","133.62575389969987","0.5349470279697728","0.27274428433913805","0.5735415419077387","0.2654560707436681"
"14","true","2","20","20","3","3","3","3","3","3","3","3","1440","376.15","214.5159238353819","0.40367791180676704","0.26047667492187604","0.47050326951838295","0.34436997230999866"
