"BehaviorSpace results (NetLogo 5.2.0)"
"puzzleSwap.nlogo"
"A6222 rep20 useNrg"
"04/29/2015 15:23:09:793 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","consumeEnergy","ZPD","numA","A1","A2","A3","A4","numB","[step]","[knowledge] of students"
"3","true","2","20","6","2","2","2","0","1441","[899 0 257 324 218 211 300 610 8 363 276 235 310 178 150 28 249 785 299 243]"
"2","true","2","20","6","2","2","2","0","1441","[250 254 416 380 224 170 0 266 244 327 270 104 600 285 467 566 567 230 240 382]"
"4","true","2","20","6","2","2","2","0","1441","[271 273 133 104 347 20 309 471 456 157 160 519 157 420 397 232 326 176 202 136]"
"1","true","2","20","6","2","2","2","0","1441","[629 118 290 380 295 430 168 345 299 204 0 370 327 359 192 617 420 73 322 6]"
"5","true","2","20","6","2","2","2","0","1441","[585 20 383 365 300 450 206 172 35 420 382 393 332 165 198 397 22 355 439 399]"
"7","true","2","20","6","2","2","2","0","1441","[487 273 276 178 130 32 106 170 404 166 86 339 440 405 180 385 260 4 17 47]"
"6","true","2","20","6","2","2","2","0","1441","[48 0 5 38 2 362 78 151 592 282 138 380 310 287 136 152 80 344 189 208]"
"9","true","2","20","6","2","2","2","0","1441","[230 230 531 297 380 252 82 358 225 380 305 212 5 356 270 280 60 193 544 220]"
"11","true","2","20","6","2","2","2","0","1441","[0 316 228 324 312 386 358 0 476 265 357 394 386 500 477 386 273 0 382 289]"
"10","true","2","20","6","2","2","2","0","1441","[398 257 50 510 431 316 233 438 297 191 245 5 130 367 150 359 140 173 254 386]"
"8","true","2","20","6","2","2","2","0","1441","[9 380 359 300 545 480 337 216 155 313 397 97 296 387 497 316 301 409 159 317]"
"12","true","2","20","6","2","2","2","0","1441","[88 289 165 260 115 105 418 141 237 332 89 240 313 147 184 399 109 347 174 440]"
"13","true","2","20","6","2","2","2","0","1441","[260 390 168 289 251 212 310 145 172 410 148 343 308 218 458 60 440 184 96 265]"
"14","true","2","20","6","2","2","2","0","1441","[365 284 456 209 147 365 367 288 244 449 318 297 130 255 383 280 300 238 2 15]"
"16","true","2","20","6","2","2","2","0","1441","[0 369 469 7 225 380 91 548 200 181 319 278 193 444 705 190 394 290 349 531]"
"18","true","2","20","6","2","2","2","0","1441","[230 293 425 279 250 236 390 246 256 180 329 326 335 74 339 225 456 297 229 429]"
"17","true","2","20","6","2","2","2","0","1441","[437 36 138 389 93 75 26 410 67 40 382 111 31 164 348 400 137 584 359 13]"
"15","true","2","20","6","2","2","2","0","1441","[300 350 386 394 316 220 176 93 219 400 291 333 288 157 283 298 242 334 306 317]"
"20","true","2","20","6","2","2","2","0","1441","[391 379 0 242 322 260 131 368 370 334 420 159 366 280 414 251 407 254 227 696]"
"19","true","2","20","6","2","2","2","0","1441","[180 144 373 115 316 386 157 423 485 215 17 450 391 320 216 191 492 316 194 316]"
