export-plot data (NetLogo 5.2.0),,,,,,,,,,,
puzzleSwap.nlogo,,,,,,,,,,,
04/29/2015 18:01:23:743 -0500,,,,,,,,,,,
,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,
consumeenergy,a3,a2,a1,b4,b1,b3,b2,numa,zpd,a4,numtotal
TRUE,2,2,6,3,3,3,3,10,2,2,20
,,,,,,,,,,,
"""LearnChanceVsKnowledge""",,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,
0,1,0,682,TRUE,"""B""",FALSE,2,,,,
,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,
"""A""",TRUE,2,1,15,0.220214578,,,,,,
"""B""",TRUE,2,1,95,0.079957303,,,,,,
,,,,,,,,,,,
"""A""",,,,"""B""",,,,,,,
x,y,color,pen down?,x,y,color,pen down?,,,,
0.72258589,278,15,TRUE,0.619017136,458,95,TRUE,,,,
0.591115729,424,15,TRUE,0.718328429,506,95,TRUE,,,,
0.39937099,221,15,TRUE,0.980637936,340,95,TRUE,,,,
0.725286601,14,15,TRUE,0.602743897,620,95,TRUE,,,,
0.062991559,566,15,TRUE,0.97735029,275,95,TRUE,,,,
0.994828156,344,15,TRUE,0.351026678,454,95,TRUE,,,,
0.331450526,379,15,TRUE,0.670011052,502,95,TRUE,,,,
0.692222203,210,15,TRUE,0.541644201,230,95,TRUE,,,,
0.460939954,275,15,TRUE,0.012761328,651,95,TRUE,,,,
0.220214578,377,15,TRUE,0.079957303,512,95,TRUE,,,,
